source_file,bulletin_year,bulletin_month,table_type,preference_category,all_chargeability_areas_except_those_listed,china_mainland_born,el_salvador_guatemala_honduras,india,mexico,philippines,vietnam
data/raw/visa_bulletins/html/2017/visa-bulletin-for-february-2017.html,2017,February,dates_for_filing,Other Workers,C,01AUG09,,01JUL05,C,01SEP13,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-february-2017.html,2017,February,dates_for_filing,4th,C,C,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-february-2017.html,2017,February,dates_for_filing,Certain Religious Workers,C,C,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-february-2017.html,2017,February,dates_for_filing,5th Non-Regional Center (C5 and T5),C,15JUN14,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-february-2017.html,2017,February,dates_for_filing,5th Regional Center (I5 and R5),C,15JUN14,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-january-2017.html,2017,January,final_action,1st,C,C,C,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-january-2017.html,2017,January,final_action,2nd,C,15OCT12,C,15APR08,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-january-2017.html,2017,January,final_action,3rd,01AUG16,08SEP13,01AUG16,15MAR05,01AUG16,22JUL11,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-january-2017.html,2017,January,final_action,Other Workers,01AUG16,01DEC05,01AUG16,15MAR05,01AUG16,22JUL11,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-january-2017.html,2017,January,final_action,4th,C,C,15JUL15,C,15JUL15,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-january-2017.html,2017,January,final_action,Certain Religious Workers,C,C,15JUL15,C,15JUL15,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-january-2017.html,2017,January,final_action,5th Non-Regional Center (C5 and T5),C,08APR14,C,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-january-2017.html,2017,January,final_action,5th Regional Center (I5 and R5),C,08APR14,C,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-january-2017.html,2017,January,dates_for_filing,1st,C,C,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-january-2017.html,2017,January,dates_for_filing,2nd,C,01MAR13,,22APR09,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-january-2017.html,2017,January,dates_for_filing,3rd,C,01MAY14,,01JUL05,C,01SEP13,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-january-2017.html,2017,January,dates_for_filing,Other Workers,C,01AUG09,,01JUL05,C,01SEP13,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-january-2017.html,2017,January,dates_for_filing,4th,C,C,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-january-2017.html,2017,January,dates_for_filing,Certain Religious Workers,C,C,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-january-2017.html,2017,January,dates_for_filing,5th Non-Regional Center (C5 and T5),C,15JUN14,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-january-2017.html,2017,January,dates_for_filing,5th Regional Center (I5 and R5),C,15JUN14,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-july-2017.html,2017,July,final_action,1st,C,01JAN12,C,01JAN12,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-july-2017.html,2017,July,final_action,2nd,C,22MAR13,C,22JUL08,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-july-2017.html,2017,July,final_action,3rd,08JUN17,01JAN12,08JUN17,15FEB06,08JUN17,15MAY14,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-july-2017.html,2017,July,final_action,Other Workers,08JUN17,15JUL06,08JUN17,15FEB06,08JUN17,15MAY14,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-july-2017.html,2017,July,final_action,4th,C,C,15AUG15,15AUG15,15AUG15,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-july-2017.html,2017,July,final_action,Certain Religious Workers,C,C,15AUG15,15AUG15,15AUG15,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-july-2017.html,2017,July,final_action,5th Non-Regional Center (C5 and T5),C,08JUN14,C,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-july-2017.html,2017,July,final_action,5th Regional Center (I5 and R5),C,08JUN14,C,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-july-2017.html,2017,July,dates_for_filing,1st,C,C,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-july-2017.html,2017,July,dates_for_filing,2nd,C,01OCT13,,01FEB09,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-july-2017.html,2017,July,dates_for_filing,3rd,C,01SEP15,,01OCT06,C,01JUL15,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-july-2017.html,2017,July,dates_for_filing,Other Workers,C,01JUN08,,01OCT06,C,01JUL15,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-july-2017.html,2017,July,dates_for_filing,4th,C,C,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-july-2017.html,2017,July,dates_for_filing,Certain Religious Workers,C,C,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-july-2017.html,2017,July,dates_for_filing,5th Non-Regional Center (C5 and T5),C,01SEP14,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-july-2017.html,2017,July,dates_for_filing,5th Regional Center (I5 and R5),C,01SEP14,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-june-2017.html,2017,June,final_action,1st,C,01JAN12,C,01JAN12,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-june-2017.html,2017,June,final_action,2nd,C,01MAR13,C,01JUL08,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-june-2017.html,2017,June,final_action,3rd,15APR17,01OCT14,15APR17,15MAY05,15APR17,01MAY13,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-june-2017.html,2017,June,final_action,Other Workers,15APR17,15JUL06,15APR17,15MAY05,15APR17,01MAY13,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-june-2017.html,2017,June,final_action,4th,C,C,15JUL15,C,15JUL15,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-june-2017.html,2017,June,final_action,Certain Religious Workers,C,C,15JUL15,C,15JUL15,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-june-2017.html,2017,June,final_action,5th Non-Regional Center (C5 and T5),C,08JUN14,C,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-june-2017.html,2017,June,final_action,5th Regional Center (I5 and R5),C,08JUN14,C,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-june-2017.html,2017,June,dates_for_filing,1st,C,C,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-june-2017.html,2017,June,dates_for_filing,2nd,C,01OCT13,,01FEB09,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-june-2017.html,2017,June,dates_for_filing,3rd,C,01SEP15,,22APR06,C,01JUL14,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-june-2017.html,2017,June,dates_for_filing,Other Workers,C,01JUN08,,22APR06,C,01JUL14,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-june-2017.html,2017,June,dates_for_filing,4th,C,C,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-june-2017.html,2017,June,dates_for_filing,Certain Religious Workers,C,C,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-june-2017.html,2017,June,dates_for_filing,5th Non-Regional Center (C5 and T5),C,01SEP14,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-june-2017.html,2017,June,dates_for_filing,5th Regional Center (I5 and R5),C,01SEP14,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-march-2017.html,2017,March,final_action,1st,C,C,C,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-march-2017.html,2017,March,final_action,2nd,C,15DEC12,C,01JUN08,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-march-2017.html,2017,March,final_action,3rd,01DEC16,15MAR14,01DEC16,22MAR05,01DEC16,15MAR12,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-march-2017.html,2017,March,final_action,Other Workers,01DEC16,01FEB06,01DEC16,22MAR05,01DEC16,15MAR12,
