source_file,bulletin_year,bulletin_month,table_type,preference_category,all_chargeability_areas_except_those_listed,china_mainland_born,el_salvador_guatemala_honduras,india,mexico,philippines,vietnam
data/raw/visa_bulletins/html/2016/visa-bulletin-for-november-2016.html,2016,November,final_action,Other Workers,01JUL16,01SEP05,01JUL16,08MAR05,01JUL16,01APR11,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-november-2016.html,2016,November,final_action,4th,C,C,15JUL15,C,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-november-2016.html,2016,November,final_action,Certain Religious Workers,C,C,15JUL15,C,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-november-2016.html,2016,November,final_action,5th Non-Regional Center (C5 and T5),C,08MAR14,C,C,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-november-2016.html,2016,November,final_action,5th Regional Center (I5 and R5),C,08MAR14,C,C,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-november-2016.html,2016,November,dates_for_filing,1st,C,C,,C,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-november-2016.html,2016,November,dates_for_filing,2nd,C,01MAR13,,22APR09,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-november-2016.html,2016,November,dates_for_filing,3rd,C,01MAY14,,01JUL05,C,01SEP13,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-november-2016.html,2016,November,dates_for_filing,Other Workers,C,01AUG09,,01JUL05,C,01SEP13,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-november-2016.html,2016,November,dates_for_filing,4th,C,C,,C,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-november-2016.html,2016,November,dates_for_filing,Certain Religious Workers,C,C,,C,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-november-2016.html,2016,November,dates_for_filing,5th Non-Regional Center (C5 and T5),C,15JUN14,,C,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-november-2016.html,2016,November,dates_for_filing,5th Regional Center (I5 and R5),C,15JUN14,,C,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-october-2016.html,2016,October,final_action,1st,C,C,C,C,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-october-2016.html,2016,October,final_action,2nd,C,15FEB12,C,15JAN07,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-october-2016.html,2016,October,final_action,3rd,01JUN16,22JAN13,01JUN16,01MAR05,01JUN16,01DEC10,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-october-2016.html,2016,October,final_action,Other Workers,01JUN16,01JAN05,01JUN16,01MAR05,01JUN16,01DEC10,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-october-2016.html,2016,October,final_action,4th,C,C,15JUN15,C,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-october-2016.html,2016,October,final_action,Certain Religious Workers,U,U,U,U,U,U,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-october-2016.html,2016,October,final_action,5th Non-Regional Center (C5 and T5),C,22FEB14,C,C,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-october-2016.html,2016,October,final_action,5th Regional Center (I5 and R5),U,U,U,U,U,U,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-october-2016.html,2016,October,dates_for_filing,1st,C,C,,C,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-october-2016.html,2016,October,dates_for_filing,2nd,C,01MAR13,,22APR09,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-october-2016.html,2016,October,dates_for_filing,3rd,C,01MAY14,,01JUL05,C,01SEP13,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-october-2016.html,2016,October,dates_for_filing,Other Workers,C,01AUG09,,01JUL05,C,01SEP13,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-october-2016.html,2016,October,dates_for_filing,4th,C,C,,C,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-october-2016.html,2016,October,dates_for_filing,Certain Religious Workers,C,C,,C,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-october-2016.html,2016,October,dates_for_filing,5th Non-Regional Center (C5 and T5),C,15JUN14,,C,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-october-2016.html,2016,October,dates_for_filing,5th Regional Center (I5 and R5),C,15JUN14,,C,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-september-2016.html,2016,September,final_action,1st,C,01JAN10,C,01JAN10,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-september-2016.html,2016,September,final_action,2nd,01FEB14,01JAN10,01FEB14,22FEB05,01FEB14,01FEB14,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-september-2016.html,2016,September,final_action,3rd,01MAY16,01JAN10,01MAY16,15FEB05,01MAY16,01JUL10,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-september-2016.html,2016,September,final_action,Other Workers,01MAY16,01JAN04,01MAY16,15FEB05,01MAY16,01JUL10,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-september-2016.html,2016,September,final_action,4th,C,C,01JAN10,01JAN10,01JAN10,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-september-2016.html,2016,September,final_action,Certain Religious Workers,C,C,01JAN10,01JAN10,01JAN10,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-september-2016.html,2016,September,final_action,5th Non-Regional Center (C5 and T5),C,15FEB14,C,C,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-september-2016.html,2016,September,final_action,5th Regional Center (I5 and R5),C,15FEB14,C,C,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-september-2016.html,2016,September,dates_for_filing,1st,C,C,,C,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-september-2016.html,2016,September,dates_for_filing,2nd,C,01JUN13,,01JUL09,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-september-2016.html,2016,September,dates_for_filing,3rd,C,01MAY15,,01JUL05,C,01JAN13,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-september-2016.html,2016,September,dates_for_filing,Other Workers,C,01AUG09,,01JUL05,C,01JAN13,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-september-2016.html,2016,September,dates_for_filing,4th,C,C,,C,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-september-2016.html,2016,September,dates_for_filing,Certain Religious Workers,C,C,,C,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-september-2016.html,2016,September,dates_for_filing,5th Non-Regional Center (C5 and T5),C,01MAY15,,C,C,C,
data/raw/visa_bulletins/html/2016/visa-bulletin-for-september-2016.html,2016,September,dates_for_filing,5th Regional Center (I5 and R5),C,01MAY15,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-april-2017.html,2017,April,final_action,1st,C,C,C,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-april-2017.html,2017,April,final_action,2nd,C,15JAN13,C,22JUN08,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-april-2017.html,2017,April,final_action,3rd,15FEB17,15AUG14,15FEB17,24MAR05,15FEB17,15SEP12,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-april-2017.html,2017,April,final_action,Other Workers,15FEB17,01MAR06,15FEB17,24MAR05,15FEB17,15SEP12,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-april-2017.html,2017,April,final_action,4th,C,C,15JUL15,C,15JUL15,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-april-2017.html,2017,April,final_action,Certain Religious Workers,C,C,15JUL15,C,15JUL15,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-april-2017.html,2017,April,final_action,5th Non-Regional Center (C5 and T5),C,22MAY14,C,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-april-2017.html,2017,April,final_action,5th Regional Center (I5 and R5),C,22MAY14,C,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-april-2017.html,2017,April,dates_for_filing,1st,C,C,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-april-2017.html,2017,April,dates_for_filing,2nd,C,01MAR13,,22APR09,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-april-2017.html,2017,April,dates_for_filing,3rd,C,01MAY14,,01JUL05,C,01SEP13,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-april-2017.html,2017,April,dates_for_filing,Other Workers,C,01AUG09,,01JUL05,C,01SEP13,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-april-2017.html,2017,April,dates_for_filing,4th,C,C,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-april-2017.html,2017,April,dates_for_filing,Certain Religious Workers,C,C,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-april-2017.html,2017,April,dates_for_filing,5th Non-Regional Center (C5 and T5),C,15JUN14,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-april-2017.html,2017,April,dates_for_filing,5th Regional Center (I5 and R5),C,15JUN14,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-august-2017.html,2017,August,final_action,1st,C,01JAN12,C,01JAN12,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-august-2017.html,2017,August,final_action,2nd,01APR15,22APR13,01APR15,22JUL08,01APR15,01APR15,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-august-2017.html,2017,August,final_action,3rd,C,01JAN12,C,15JUL06,C,01JUN15,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-august-2017.html,2017,August,final_action,Other Workers,C,01JAN04,C,15JUL06,C,01JUN15,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-august-2017.html,2017,August,final_action,4th,C,C,15SEP15,15SEP15,15SEP15,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-august-2017.html,2017,August,final_action,Certain Religious Workers,C,C,15SEP15,15SEP15,15SEP15,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-august-2017.html,2017,August,final_action,5th Non-Regional Center (C5 and T5),C,15JUN14,C,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-august-2017.html,2017,August,final_action,5th Regional Center (I5 and R5),C,15JUN14,C,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-august-2017.html,2017,August,dates_for_filing,1st,C,C,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-august-2017.html,2017,August,dates_for_filing,2nd,C,01OCT13,,01FEB09,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-august-2017.html,2017,August,dates_for_filing,3rd,C,01SEP15,,01JAN07,C,01JAN16,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-august-2017.html,2017,August,dates_for_filing,Other Workers,C,01JUN08,,01JAN07,C,01JAN16,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-august-2017.html,2017,August,dates_for_filing,4th,C,C,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-august-2017.html,2017,August,dates_for_filing,Certain Religious Workers,C,C,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-august-2017.html,2017,August,dates_for_filing,5th Non-Regional Center (C5 and T5),C,01SEP14,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-august-2017.html,2017,August,dates_for_filing,5th Regional Center (I5 and R5),C,01SEP14,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-december-2017.html,2017,December,final_action,1st,C,C,C,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-december-2017.html,2017,December,final_action,2nd,C,01JUL13,C,01NOV08,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-december-2017.html,2017,December,final_action,3rd,C,08MAR14,C,15OCT06,C,15JAN16,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-december-2017.html,2017,December,final_action,Other Workers,C,01JUL06,C,15OCT06,C,15JAN16,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-december-2017.html,2017,December,final_action,4th,C,C,08NOV15,C,22APR16,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-december-2017.html,2017,December,final_action,Certain Religious Workers,C,C,08NOV15,C,22APR16,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-december-2017.html,2017,December,final_action,5th Non-Regional Center (C5 and T5),C,15JUL14,C,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-december-2017.html,2017,December,final_action,5th Regional Center (I5 and R5),C,15JUL14,C,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-december-2017.html,2017,December,dates_for_filing,1st,C,C,C,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-december-2017.html,2017,December,dates_for_filing,2nd,C,15NOV13,C,08FEB09,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-december-2017.html,2017,December,dates_for_filing,3rd,C,01SEP15,C,01JAN08,C,01AUG16,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-december-2017.html,2017,December,dates_for_filing,Other Workers,C,01JUN08,C,01JAN08,C,01AUG16,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-december-2017.html,2017,December,dates_for_filing,4th,C,C,15APR16,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-december-2017.html,2017,December,dates_for_filing,Certain Religious Workers,C,C,15APR16,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-december-2017.html,2017,December,dates_for_filing,5th Non-Regional Center (C5 and T5),C,01OCT14,C,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-december-2017.html,2017,December,dates_for_filing,5th Regional Center (I5 and R5),C,01OCT14,C,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-february-2017.html,2017,February,final_action,1st,C,C,C,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-february-2017.html,2017,February,final_action,2nd,C,15NOV12,C,15APR08,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-february-2017.html,2017,February,final_action,3rd,01OCT16,01OCT13,01OCT16,22MAR05,01OCT16,15OCT11,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-february-2017.html,2017,February,final_action,Other Workers,01OCT16,01DEC05,01OCT16,22MAR05,01OCT16,15OCT11,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-february-2017.html,2017,February,final_action,4th,C,C,15JUL15,C,15JUL15,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-february-2017.html,2017,February,final_action,Certain Religious Workers,C,C,15JUL15,C,15JUL15,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-february-2017.html,2017,February,final_action,5th Non-Regional Center (C5 and T5),C,15APR14,C,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-february-2017.html,2017,February,final_action,5th Regional Center (I5 and R5),C,15APR14,C,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-february-2017.html,2017,February,dates_for_filing,1st,C,C,,C,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-february-2017.html,2017,February,dates_for_filing,2nd,C,01MAR13,,22APR09,C,C,
data/raw/visa_bulletins/html/2017/visa-bulletin-for-february-2017.html,2017,February,dates_for_filing,3rd,C,01MAY14,,01JUL05,C,01SEP13,
